Name,Display Name,Type,Description,Preferred Location,Retiring,Retiring Date
CM3314,YOLO Charm,Inventory Item,YOLO Charm,Main Warehouse,Yes,31/12/2016
CM3315,Angel Charm,Inventory Item,Angel Charm,Main Warehouse,No,
CM3316,Lips Charm,Inventory Item,Lips Charm,Main Warehouse,Yes,31/12/2016
CM3317,Hot Air Balloon Charm,Inventory Item,Hot Air Balloon Charm,Main Warehouse,Yes,31/12/2016
CM3318,Scooter Charm,Inventory Item,Scooter Charm,Main Warehouse,Yes,31/12/2016
CM3319,Turtle Charm,Inventory Item,Turtle Charm,Main Warehouse,Yes,31/12/2016
CM3320,Mum Candy Charm,Inventory Item,Mum Candy Charm,Main Warehouse,Yes,31/12/2016
CM3321,Dad Candy Charm,Inventory Item,Dad Candy Charm,Main Warehouse,Yes,31/12/2016
CM3322,Best Friend Candy Charm,Inventory Item,Best Friend Candy Charm,Main Warehouse,Yes,31/12/2016
CM3323,Sister Candy Charm,Inventory Item,Sister Candy Charm,Main Warehouse,Yes,31/12/2016
CM3324,Penguin Charm,Inventory Item,Penguin Charm,Main Warehouse,Yes,31/12/2016
CM3325,Lollipop Charm,Inventory Item,Lollipop Charm,Main Warehouse,Yes,31/12/2016
CM3326,Niece Charm,Inventory Item,Niece Charm,Main Warehouse,No,
CM3327,Cactus Charm,Inventory Item,Cactus Charm,Main Warehouse,No,
CM3328,Lily Owl Charm,Inventory Item,Lily Owl Charm,Main Warehouse,Yes,31/12/2017
CM3329,Squirrel Charm,Inventory Item,Squirrel Charm,Main Warehouse,Yes,31/12/2016
CM3330,Sun Charm,Inventory Item,Sun Charm,Main Warehouse,Yes,31/12/2016
CM3331,Umbrella Charm,Inventory Item,Umbrella Charm,Main Warehouse,Yes,31/12/2016
CM3332,Ice Cream Charm,Inventory Item,Ice Cream Charm,Main Warehouse,Yes,31/12/2016
CM3333,Golf Clubs Charm,Inventory Item,Golf Clubs Charm,Main Warehouse,Yes,31/12/2016
CM3334,Beach Ball Charm,Inventory Item,Beach Ball Charm,Main Warehouse,Yes,31/12/2016
CM3335,2015 Charm,Inventory Item,2015 Charm,Main Warehouse,Yes,31/12/2016
CM3336,1st Mother's Day,Inventory Item,1st Mother's Day,Main Warehouse,Yes,30/4/2018
CM3337,Mum,Inventory Item,Mum,Main Warehouse,No,
CM3338,Vintage Bus,Inventory Item,Vintage Bus,Main Warehouse,No,
CM3339,Scooter,Inventory Item,Scooter,Main Warehouse,Yes,31/12/2016
CM3340,Cruiser Bike,Inventory Item,Cruiser Bike,Main Warehouse,Yes,31/12/2016
CM3341,Pink Daisy,Inventory Item,Pink Daisy,Main Warehouse,Yes,31/12/2017
CM3342,Pineapple,Inventory Item,Pineapple,Main Warehouse,No,
CM3343,Flamingo,Inventory Item,Flamingo,Main Warehouse,Yes,31/12/2017
CM3344,Queen Bee,Inventory Item,Queen Bee,Main Warehouse,Yes,30/4/2018
CM3345,Teal Dolphin,Inventory Item,Teal Dolphin,Main Warehouse,No,
CMA3234,Snowflake Charm White,Inventory Item,Snowflake Charm White,Main Warehouse,Yes,31/12/2017
CMA3346,Globe Charm,Inventory Item,Globe Charm,Main Warehouse,No,
CMA3347,USA Charm,Inventory Item,USA Charm,Main Warehouse,No,
CMA3348,Maple Leaf Charm,Inventory Item,Maple Leaf Charm,Main Warehouse,No,
CMA3349,Kangaroo Charm,Inventory Item,Kangaroo Charm,Main Warehouse,Yes,31/12/2016
CMA3350,Koala Charm,Inventory Item,Koala Charm,Main Warehouse,Yes,31/12/2016
CMA3351,Teddy Charm,Inventory Item,Teddy Charm,Main Warehouse,No,
CMA3352,Silver Love Charm,Inventory Item,Silver Love Charm,Main Warehouse,No,
CMA3353,Gold Love Charm,Inventory Item,Gold Love Charm,Main Warehouse,No,
CMA3354,Gold Frog Charm,Inventory Item,Gold Frog Charm,Main Warehouse,No,
CMA3355,Tea Pot Charm,Inventory Item,Tea Pot Charm,Main Warehouse,Yes,31/12/2016
